Frame,Car_Count,Truck_Count,Bike_Count,Bus_Count,2_Wheeler_Count,3_Wheeler_Count,4_Wheeler_Count,6_Wheeler_Count,Other_Vehicles,Avg_Speed_kmh,Time_To_Cross_sec,Total_Vehicles,Total Vehicles,Vehicle Density
125,0,0,0,0,0,0,0,0,12,42.03310695,4.166666667,12,12,5.79E-06
126,0,0,0,0,0,0,0,0,12,35.37995143,4.2,12,12,5.79E-06
127,0,0,0,0,0,0,0,0,12,42.23306534,4.233333333,12,12,5.79E-06
128,0,0,0,0,0,0,0,0,12,33.48604151,4.266666667,12,12,5.79E-06
129,0,0,0,0,0,0,0,0,12,42.90729425,4.3,12,12,5.79E-06
130,0,0,0,0,0,0,0,0,12,41.90956404,4.333333333,12,12,5.79E-06
131,0,0,0,0,0,0,0,0,12,57.11807388,4.366666667,12,12,5.79E-06
132,0,0,0,0,0,0,0,0,12,47.19918525,4.4,12,12,5.79E-06
133,0,0,0,0,0,0,0,0,11,55.23744975,4.433333333,11,11,5.30E-06
134,0,1,0,0,0,0,1,0,10,32.89293223,4.466666667,11,11,5.30E-06
135,0,0,0,1,0,0,0,1,10,53.83201803,4.5,11,10,4.82E-06
136,0,0,0,0,0,0,0,0,11,43.82037517,4.533333333,11,11,5.30E-06
137,0,0,0,0,0,0,0,0,11,34.01056645,4.566666667,11,11,5.30E-06
138,0,0,0,0,0,0,0,0,11,41.22611277,4.6,11,11,5.30E-06
139,0,0,0,0,0,0,0,0,11,52.82732763,4.633333333,11,11,5.30E-06
140,0,0,0,0,0,0,0,0,11,37.95825407,4.666666667,11,11,5.30E-06
141,0,0,0,0,0,0,0,0,11,41.62045929,4.7,11,11,5.30E-06
142,0,0,0,0,0,0,0,0,11,46.019325,4.733333333,11,11,5.30E-06
143,0,0,0,0,0,0,0,0,11,50.69388829,4.766666667,11,11,5.30E-06
144,0,1,0,0,0,0,1,0,11,34.5632687,4.8,12,12,5.79E-06
145,0,0,0,1,0,0,0,1,11,37.95071405,4.833333333,12,11,5.30E-06
146,0,0,0,0,0,0,0,0,12,42.16480297,4.866666667,12,12,5.79E-06
147,0,0,0,0,0,0,0,0,12,54.51643509,4.9,12,12,5.79E-06
148,0,0,0,0,0,0,0,0,12,57.07412971,4.933333333,12,12,5.79E-06
149,0,0,0,0,0,0,0,0,12,54.06996214,4.966666667,12,12,5.79E-06
150,0,0,0,0,0,0,0,0,12,51.63669188,5,12,12,5.79E-06
151,0,0,0,0,0,0,0,0,12,55.77340612,5.033333333,12,12,5.79E-06
152,0,0,0,0,0,0,0,0,12,43.68943967,5.066666667,12,12,5.79E-06
153,0,0,0,0,0,0,0,0,11,57.26244333,5.1,11,11,5.30E-06
154,0,0,0,0,0,0,0,0,11,43.7313554,5.133333333,11,11,5.30E-06
155,0,0,0,0,0,0,0,0,11,46.53786383,5.166666667,11,11,5.30E-06
156,0,0,0,0,0,0,0,0,11,53.33799142,5.2,11,11,5.30E-06
157,0,0,0,0,0,0,0,0,11,44.71712079,5.233333333,11,11,5.30E-06
158,0,0,0,0,0,0,0,0,11,45.9586323,5.266666667,11,11,5.30E-06
159,0,0,0,0,0,0,0,0,10,40.0984367,5.3,10,10,4.82E-06
160,0,1,0,0,0,0,1,0,10,54.75315081,5.333333333,11,11,5.30E-06
161,0,0,0,1,0,0,0,1,10,34.74009046,5.366666667,11,10,4.82E-06
162,0,0,0,0,0,0,0,0,11,50.49086201,5.4,11,11,5.30E-06
